temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration
22.4,22.7,22.1,54.7,0.0
24.7,26.5,22.9,27.4,1288.17
25.4,28.5,23.6,26.3,16470.83
25.5,28.2,24.0,8.1,19828.75
25.3,28.8,23.1,10.3,29004.8
25.1,29.0,22.0,1.0,35410.29
26.0,28.6,24.5,1.3,30852.08
26.6,30.0,24.5,5.9,34726.22
25.0,28.9,20.9,10.6,24852.85
20.7,22.6,18.8,3.6,315.2
20.8,23.5,19.1,1.5,14400.0
20.9,24.3,20.0,22.4,7833.01
23.4,26.0,20.9,1.7,14400.0
25.1,28.9,23.2,14.1,31367.97
24.2,26.9,21.9,23.2,25478.57
22.3,24.0,20.8,0.3,0.0
21.5,24.7,19.5,1.7,25114.5
20.1,24.2,16.0,0.0,31431.53
20.2,24.6,17.0,0.0,39769.73
22.7,25.4,20.5,0.4,25666.6
23.9,27.2,21.0,1.9,37751.32
24.4,28.7,21.1,0.6,36070.61
24.5,28.2,21.9,2.2,36161.29
23.9,28.1,19.9,0.0,36000.0
24.5,28.6,21.6,0.4,30824.01
25.6,30.0,22.6,0.0,32465.68
25.0,30.8,21.7,0.3,33461.64
21.8,26.5,18.4,0.0,35088.92
23.9,29.1,20.0,0.1,38448.48
23.8,27.8,19.5,0.9,38207.59
20.3,26.0,16.5,0.0,38761.1
21.1,23.2,18.4,0.0,35130.32
23.2,25.0,21.1,0.5,0.0
22.9,24.6,22.0,5.5,94.51
24.3,28.3,20.6,1.4,31672.49
21.1,24.4,17.5,0.2,20532.76
20.4,24.9,17.1,0.0,38647.66
22.4,25.2,18.7,0.0,32400.0
22.9,25.5,19.6,29.2,1947.36
20.1,22.2,17.6,16.4,1650.7
21.4,25.9,18.4,0.0,36866.77
19.9,24.2,15.9,0.0,36609.39
21.6,26.0,17.2,0.0,33602.37
19.6,23.8,14.9,0.0,37480.71
15.7,19.7,12.4,0.0,36419.37
16.5,21.0,13.2,0.0,33793.63
19.4,22.8,15.4,0.0,30204.97
20.7,24.2,17.4,0.0,5569.68
21.8,26.2,17.8,0.0,36514.21
20.8,25.2,17.8,0.0,36000.0
21.2,23.5,19.5,0.2,2968.98
20.7,22.1,19.9,1.7,0.0
23.7,26.1,21.8,7.7,1461.84
23.8,27.9,20.7,11.0,15832.58
23.0,28.7,18.8,0.0,36110.78
21.1,26.8,16.5,0.0,36000.0
17.0,20.2,14.9,0.3,28400.49
16.8,19.5,15.1,10.9,8372.99
16.9,19.2,16.0,16.7,2152.73
15.0,17.0,12.2,4.0,4937.5
15.5,19.6,12.6,0.0,36000.0
16.1,19.5,13.4,0.0,12128.43
17.0,20.5,14.7,11.2,24781.9
16.9,18.9,14.6,12.7,1625.21
15.7,20.8,11.1,0.0,32470.13
13.6,18.6,8.8,0.0,36092.64
11.9,17.4,6.9,0.0,36115.06
11.9,17.5,7.6,0.0,36000.0
13.0,17.3,9.4,0.0,26821.86
14.9,21.1,10.6,0.0,36000.0
17.5,22.9,13.4,0.0,36000.0
17.5,21.4,14.2,0.7,28527.71
15.6,18.7,12.2,0.1,1009.58
16.5,21.0,13.4,0.0,29868.88
16.0,19.2,12.8,0.5,22182.93
14.6,17.9,10.4,0.0,0.0
11.7,13.9,9.0,0.0,4666.45
13.6,16.7,10.1,0.0,28800.0
15.6,19.1,11.6,0.0,10117.66
16.2,21.8,12.7,1.0,33177.96
13.4,16.6,11.5,0.1,26348.08
12.8,15.9,8.6,0.0,27348.14
9.5,14.5,5.7,0.0,28863.36
9.5,13.2,7.1,0.0,33030.22
9.2,14.4,4.6,0.0,36000.0
10.1,16.5,5.8,0.0,36000.0
10.2,16.4,4.6,0.0,36000.0
9.3,12.2,6.2,0.0,25200.0
11.8,17.5,8.9,0.0,32986.2
11.7,16.5,6.4,0.0,34771.43
8.4,12.1,6.1,0.0,36000.0
10.5,15.2,6.7,0.0,19318.05
13.2,15.7,8.4,0.0,17568.38
15.7,20.2,13.0,1.1,28800.0
13.1,15.9,9.6,0.1,7293.99
12.8,16.8,9.6,0.0,26192.18
10.0,17.5,4.2,0.0,36000.0
9.7,12.4,6.0,0.0,36000.0
13.0,20.3,7.2,0.0,36000.0
